time,open,high,low,close,volume,ma,std,upper,lower,trendline,tr,trend,up,dn,buy_signal,sell_signal,rsi,stdev,up_band,dn_band,mid_band,bulls_ma,bears_ma
2025-04-01 02:15:00+00:00,3124.28,3124.35,3122.63,3122.63,0,61.36938198709745,4.509141714545891,3127.1557038828087,3111.3737078818976,3122.0560615137492,1.7199999999998,-1,3123.0739999999996,3124.178,,3122.63,55.7438794726938,12.867862009390745,87.10510600587894,35.63365796831596,61.36938198709745,55.7438794726938,65.0946638107874
2025-04-01 03:00:00+00:00,3122.73,3124.96,3122.7,3124.87,0,62.135175165574864,3.782942530495257,3126.7795611930733,3113.5392623363396,3122.5624266812,2.2600000000002183,1,3122.836,3123.701,3124.87,,70.51416579223287,12.900806715998879,87.93678859757262,36.333561733577106,62.135175165574864,70.51416579223287,59.60244793112579
2025-04-01 03:45:00+00:00,3125.97,3126.37,3123.49,3123.49,0,65.14775265444591,3.408434227912551,3127.135348134141,3115.2058283364477,3123.2835531393034,2.880000000000109,-1,3124.801,3126.052,,3123.49,48.83474576271047,8.60795697411231,82.36366660267053,47.931838706221285,65.14775265444591,48.83474576271047,59.756257148700435
2025-04-01 09:30:00+00:00,3145.03,3147.05,3144.85,3146.91,0,76.67903967291058,9.64158654410736,3151.0357176286584,3117.290164724283,3141.681874564245,2.200000000000273,1,3144.9299999999994,3145.69,3146.91,,60.49204052098368,15.464080685614672,107.60720104413991,45.75087830168123,76.67903967291058,60.49204052098368,57.39531750428459
2025-04-01 11:30:00+00:00,3132.77,3133.16,3129.82,3129.82,0,57.207009647951374,7.901372903573349,3150.125637875371,3122.470832712864,3136.3249966838566,3.3399999999996908,-1,3131.411,3132.826,,3129.82,31.81818181818211,26.28592915510076,109.77886795815289,4.635151337749853,57.20700964795137,31.81818181818211,32.78221132022476
2025-04-01 12:00:00+00:00,3127.49,3132.37,3126.45,3131.91,0,50.54271238768513,7.762853179292361,3150.01616953435,3122.846183406827,3134.6425076679034,5.920000000000073,1,3126.582,3131.38,3131.91,,33.9812814974798,23.989338829544554,98.52139004677423,2.5640347285960203,50.54271238768513,33.9812814974798,31.925073639902713
2025-04-01 12:45:00+00:00,3132.35,3133.24,3129.42,3129.49,0,44.53676368601522,6.59664253851454,3148.851477383577,3125.763228498776,3133.880836051471,3.819999999999709,-1,3129.7860000000005,3132.9279999999994,,3129.49,38.97300855826177,17.45507859044734,79.44692086690989,9.626606505120542,44.53676368601522,38.97300855826177,41.42780197951388
2025-04-01 15:15:00+00:00,3133.6,3135.74,3132.49,3135.74,0,46.022386855498645,5.981356485050355,3147.091785613544,3126.1570379158675,3133.898108173569,3.25,1,3132.8149999999996,3134.55,3135.74,,67.49999999999869,13.724543379053165,73.47147361360497,18.573300097392316,46.022386855498645,67.49999999999869,58.13156261420356
2025-04-01 17:15:00+00:00,3134.59,3135.07,3128.69,3128.69,0,50.110714256879874,4.062475262524696,3140.658449356477,3126.4397859376404,3132.6398568170307,6.380000000000109,-1,3131.287,3134.4320000000002,,3128.69,40.6621831350227,9.031711758420258,68.17413777372039,32.04729074003936,50.110714256879874,40.6621831350227,46.22542377247142
2025-04-01 19:00:00+00:00,3128.69,3132.84,3128.02,3132.84,0,48.03090185735796,2.782371037791778,3136.7032669631944,3126.9649683309235,3130.8604872578317,4.820000000000164,1,3128.502,3131.929,3132.84,,49.55257270693553,8.268421518918638,64.56774489519523,31.494058819520685,48.03090185735796,49.55257270693553,41.28246663412782
2025-04-01 22:45:00+00:00,3113.43,3113.67,3113.26,3113.26,0,35.323871711863724,9.977335563941656,3140.7462195898393,3105.8255451160435,3116.173806070316,0.4099999999998545,-1,3113.413,3113.629,,3113.26,66.34901727218701,15.413028689078365,66.14992909002045,4.4978143337069945,35.323871711863724,66.34901727218701,52.47044849848736
2025-04-02 03:00:00+00:00,3111.3,3113.93,3111.25,3113.5,0,52.59988051819856,7.079869789682069,3129.167713308414,3104.388169044527,3114.827306656934,2.6799999999998363,1,3111.088,3113.4300000000003,3113.5,,39.97613365155025,17.872930964248607,88.34574244669577,16.854018589701347,52.59988051819856,39.97613365155025,39.8787438205159
2025-04-02 05:30:00+00:00,3133.44,3135.31,3129.83,3129.83,0,55.79219175721276,6.339117360693291,3127.091690675331,3104.904779912905,3121.057700952035,5.480000000000018,-1,3130.253,3134.7619999999997,,3129.83,80.01339136257144,20.999159047045687,97.79050985130414,13.793873663121389,55.79219175721276,80.01339136257144,82.12718707495654
