time,open,high,low,close,volume
2025-01-02 03:00:00+00:00,2625.25,2625.6,2624.23,2624.68,605
2025-01-02 03:15:00+00:00,2624.73,2624.96,2623.45,2623.64,580
2025-01-02 03:30:00+00:00,2623.65,2623.83,2621.82,2621.82,419
2025-01-02 03:45:00+00:00,2621.83,2624.33,2621.62,2623.71,385
2025-01-02 04:00:00+00:00,2623.72,2626.13,2622.69,2625.68,791
2025-01-02 04:15:00+00:00,2625.67,2626.4,2625.15,2626.27,1162
2025-01-02 04:30:00+00:00,2626.28,2627.46,2625.37,2626.75,948
2025-01-02 04:45:00+00:00,2626.78,2627.71,2625.21,2625.26,1285
2025-01-02 05:00:00+00:00,2625.24,2630.84,2623.77,2629.54,2504
2025-01-02 05:15:00+00:00,2629.51,2632.87,2629.3,2632.49,1861
2025-01-02 05:30:00+00:00,2632.55,2634.34,2632.31,2633.43,1605
2025-01-02 05:45:00+00:00,2633.36,2633.47,2631.56,2632.86,1934
2025-01-02 06:00:00+00:00,2632.87,2634.73,2632.52,2634.46,1578
2025-01-02 06:15:00+00:00,2634.48,2636.43,2633.79,2635.57,995
2025-01-02 06:30:00+00:00,2635.58,2635.68,2632.62,2633.36,1867
2025-01-02 06:45:00+00:00,2633.35,2635.25,2632.23,2634.64,1547
2025-01-02 07:00:00+00:00,2634.68,2635.27,2633.02,2633.07,1593
2025-01-02 07:15:00+00:00,2633.06,2634.68,2632.94,2633.3,1476
2025-01-02 07:30:00+00:00,2633.29,2634.07,2632.24,2633.37,976
2025-01-02 07:45:00+00:00,2633.34,2633.76,2632.65,2633.54,511
2025-01-02 08:00:00+00:00,2633.56,2633.61,2632.01,2632.26,684
2025-01-02 08:15:00+00:00,2632.22,2633.11,2632.06,2632.33,597
2025-01-02 08:30:00+00:00,2632.37,2632.76,2632.0,2632.04,555
2025-01-02 08:45:00+00:00,2632.07,2634.09,2631.03,2633.89,866
2025-01-02 09:00:00+00:00,2633.9,2634.23,2633.02,2633.28,707
2025-01-02 09:15:00+00:00,2633.27,2635.23,2633.25,2634.84,801
2025-01-02 09:30:00+00:00,2634.82,2636.38,2634.45,2634.86,1350
2025-01-02 09:45:00+00:00,2634.85,2635.27,2633.88,2633.9,1444
2025-01-02 10:00:00+00:00,2633.83,2633.83,2631.44,2631.76,1448
2025-01-02 10:15:00+00:00,2631.74,2634.29,2631.17,2634.13,1176
2025-01-02 10:30:00+00:00,2634.11,2634.65,2633.29,2634.1,1247
2025-01-02 10:45:00+00:00,2634.12,2635.33,2633.53,2634.11,1209
2025-01-02 11:00:00+00:00,2634.12,2635.02,2633.52,2634.3,1259
2025-01-02 11:15:00+00:00,2634.28,2635.86,2633.48,2634.27,1187
2025-01-02 11:30:00+00:00,2634.26,2634.28,2632.95,2633.47,1040
2025-01-02 11:45:00+00:00,2633.49,2635.9,2632.87,2635.9,1135
2025-01-02 12:00:00+00:00,2635.87,2636.97,2633.92,2635.04,1665
2025-01-02 12:15:00+00:00,2635.02,2635.05,2631.25,2633.19,1721
2025-01-02 12:30:00+00:00,2633.2,2636.84,2631.08,2636.2,1474
2025-01-02 12:45:00+00:00,2636.22,2637.71,2635.33,2636.38,1204
2025-01-02 13:00:00+00:00,2636.43,2639.81,2636.43,2638.17,1735
2025-01-02 13:15:00+00:00,2638.07,2639.87,2637.19,2637.34,1338
2025-01-02 13:30:00+00:00,2637.35,2638.35,2636.62,2637.1,1152
2025-01-02 13:45:00+00:00,2637.2,2637.88,2635.98,2636.08,1420
2025-01-02 14:00:00+00:00,2636.07,2638.89,2632.64,2638.82,1742
2025-01-02 14:15:00+00:00,2638.83,2646.18,2638.06,2644.73,2196
2025-01-02 14:30:00+00:00,2644.66,2645.59,2643.1,2643.97,1651
2025-01-02 14:45:00+00:00,2643.91,2644.08,2640.43,2642.63,1974
2025-01-02 15:00:00+00:00,2642.64,2644.5,2642.32,2644.1,1434
2025-01-02 15:15:00+00:00,2644.11,2644.31,2640.49,2641.72,1402
2025-01-02 15:30:00+00:00,2641.74,2642.76,2640.23,2642.0,1344
2025-01-02 15:45:00+00:00,2642.01,2642.5,2641.11,2641.82,979
2025-01-02 16:00:00+00:00,2641.83,2642.71,2640.25,2640.94,1266
2025-01-02 16:15:00+00:00,2640.93,2643.17,2640.48,2642.67,1343
2025-01-02 16:30:00+00:00,2642.69,2645.18,2642.09,2644.08,1894
2025-01-02 16:45:00+00:00,2644.07,2646.36,2642.74,2643.27,1803
2025-01-02 17:00:00+00:00,2643.19,2643.22,2638.26,2638.5,2614
2025-01-02 17:15:00+00:00,2638.47,2641.02,2636.0,2640.71,2385
2025-01-02 17:30:00+00:00,2640.51,2640.93,2637.0,2639.1,2452
2025-01-02 17:45:00+00:00,2639.08,2647.17,2638.12,2642.88,2666
2025-01-02 18:00:00+00:00,2642.86,2646.78,2640.24,2646.78,2375
2025-01-02 18:15:00+00:00,2646.77,2648.97,2646.06,2646.25,2291
2025-01-02 18:30:00+00:00,2646.29,2650.04,2646.26,2648.91,2672
2025-01-02 18:45:00+00:00,2648.88,2650.95,2646.81,2647.6,2360
2025-01-02 19:00:00+00:00,2647.41,2649.49,2645.08,2648.49,2693
2025-01-02 19:15:00+00:00,2648.5,2649.53,2647.47,2648.79,2207
2025-01-02 19:30:00+00:00,2648.76,2653.56,2648.34,2651.91,2661
2025-01-02 19:45:00+00:00,2651.88,2655.8,2651.37,2653.99,2621
2025-01-02 20:00:00+00:00,2653.97,2654.43,2649.96,2653.6,2849
2025-01-02 20:15:00+00:00,2653.57,2657.87,2653.28,2656.71,2626
2025-01-02 20:30:00+00:00,2656.69,2658.36,2654.75,2657.47,1848
2025-01-02 20:45:00+00:00,2657.42,2660.36,2657.41,2659.29,1880
2025-01-02 21:00:00+00:00,2659.3,2660.4,2658.01,2659.07,1468
2025-01-02 21:15:00+00:00,2659.05,2659.88,2655.95,2656.25,1717
2025-01-02 21:30:00+00:00,2656.23,2656.38,2653.02,2653.62,1953
2025-01-02 21:45:00+00:00,2653.64,2656.63,2652.44,2656.48,1828
2025-01-02 22:00:00+00:00,2656.49,2658.7,2655.86,2656.61,1881
2025-01-02 22:15:00+00:00,2656.63,2658.02,2654.82,2654.87,1428
2025-01-02 22:30:00+00:00,2654.84,2656.09,2653.72,2655.78,1582
2025-01-02 22:45:00+00:00,2655.79,2656.14,2654.66,2655.36,1192
2025-01-02 23:00:00+00:00,2655.45,2655.84,2654.27,2654.49,1320
2025-01-02 23:15:00+00:00,2654.48,2656.02,2653.78,2655.49,1632
2025-01-02 23:30:00+00:00,2655.48,2657.11,2654.4,2654.79,1459
2025-01-02 23:45:00+00:00,2654.85,2655.6,2654.25,2654.65,1609
2025-01-03 00:00:00+00:00,2654.69,2657.25,2654.12,2657.0,1531
2025-01-03 00:15:00+00:00,2656.99,2660.41,2656.41,2659.86,1260
2025-01-03 00:30:00+00:00,2659.85,2660.36,2658.75,2659.07,1432
2025-01-03 00:45:00+00:00,2659.09,2660.02,2659.03,2659.79,1461
2025-01-03 01:00:00+00:00,2659.76,2660.18,2658.96,2658.96,517
2025-01-03 01:15:00+00:00,2658.97,2659.32,2657.82,2658.11,578
2025-01-03 01:30:00+00:00,2658.09,2658.32,2656.52,2657.93,382
2025-01-03 01:45:00+00:00,2657.95,2658.41,2656.98,2657.98,324
2025-01-03 03:00:00+00:00,2657.43,2658.09,2657.24,2658.01,295
2025-01-03 03:15:00+00:00,2657.91,2658.91,2657.74,2658.71,276
2025-01-03 03:30:00+00:00,2658.7,2659.51,2658.41,2659.14,483
2025-01-03 03:45:00+00:00,2659.13,2659.34,2657.74,2658.33,680
2025-01-03 04:00:00+00:00,2658.39,2660.95,2658.31,2660.58,702
2025-01-03 04:15:00+00:00,2660.59,2661.02,2659.23,2659.68,642
2025-01-03 04:30:00+00:00,2659.7,2660.24,2658.6,2658.99,839
2025-01-03 04:45:00+00:00,2658.98,2660.9,2658.78,2660.77,754
2025-01-03 05:00:00+00:00,2660.76,2662.34,2659.21,2660.83,1421
2025-01-03 05:15:00+00:00,2660.84,2661.32,2658.01,2658.7,1012
2025-01-03 05:30:00+00:00,2658.67,2659.05,2656.65,2656.89,1074
2025-01-03 05:45:00+00:00,2656.9,2660.05,2656.87,2659.39,1066
2025-01-03 06:00:00+00:00,2659.37,2660.19,2656.14,2659.22,1554
2025-01-03 06:15:00+00:00,2659.23,2663.94,2658.6,2659.27,1229
2025-01-03 06:30:00+00:00,2659.24,2662.01,2658.9,2661.38,1369
2025-01-03 06:45:00+00:00,2661.39,2663.03,2659.84,2662.45,1702
2025-01-03 07:00:00+00:00,2662.41,2664.47,2661.23,2663.09,1502
2025-01-03 07:15:00+00:00,2663.08,2665.23,2662.93,2663.43,1394
2025-01-03 07:30:00+00:00,2663.44,2663.57,2661.94,2662.39,1042
2025-01-03 07:45:00+00:00,2662.38,2663.4,2662.1,2662.22,1000
2025-01-03 08:00:00+00:00,2662.18,2662.9,2661.7,2662.76,1063
2025-01-03 08:15:00+00:00,2662.72,2664.27,2662.57,2663.98,493
2025-01-03 08:30:00+00:00,2663.9,2664.08,2661.94,2662.21,605
2025-01-03 08:45:00+00:00,2662.22,2663.02,2661.76,2662.77,637
2025-01-03 09:00:00+00:00,2662.76,2662.83,2661.07,2661.45,730
2025-01-03 09:15:00+00:00,2661.46,2661.46,2659.95,2660.51,651
2025-01-03 09:30:00+00:00,2660.52,2660.52,2658.67,2658.98,1173
2025-01-03 09:45:00+00:00,2658.96,2658.97,2655.94,2658.51,1167
2025-01-03 10:00:00+00:00,2658.44,2660.01,2657.62,2658.41,785
2025-01-03 10:15:00+00:00,2658.43,2659.63,2657.21,2657.31,1035
2025-01-03 10:30:00+00:00,2657.27,2659.32,2656.67,2659.18,950
2025-01-03 10:45:00+00:00,2659.19,2660.28,2658.75,2659.5,1093
2025-01-03 11:00:00+00:00,2659.49,2659.49,2655.55,2656.04,1211
2025-01-03 11:15:00+00:00,2656.03,2656.27,2651.81,2652.75,1671
2025-01-03 11:30:00+00:00,2652.72,2654.96,2652.48,2654.79,1390
2025-01-03 11:45:00+00:00,2654.78,2655.99,2652.92,2654.21,1220
2025-01-03 12:00:00+00:00,2654.06,2655.72,2652.05,2653.87,1818
2025-01-03 12:15:00+00:00,2653.88,2654.7,2651.88,2652.53,1291
2025-01-03 12:30:00+00:00,2652.5,2653.53,2651.23,2652.81,1848
2025-01-03 12:45:00+00:00,2652.8,2653.46,2649.8,2652.84,1513
2025-01-03 13:00:00+00:00,2652.8,2655.52,2652.69,2654.47,1550
2025-01-03 13:15:00+00:00,2654.37,2655.86,2653.11,2653.88,1145
2025-01-03 13:30:00+00:00,2653.93,2655.8,2653.85,2653.98,1052
2025-01-03 13:45:00+00:00,2653.96,2654.54,2652.88,2653.53,1298
2025-01-03 14:00:00+00:00,2653.52,2656.72,2653.37,2656.62,1136
2025-01-03 14:15:00+00:00,2656.61,2657.4,2655.43,2656.1,938
2025-01-03 14:30:00+00:00,2656.08,2656.27,2653.0,2655.14,1146
2025-01-03 14:45:00+00:00,2655.16,2657.88,2654.59,2657.6,1237
2025-01-03 15:00:00+00:00,2657.62,2658.72,2657.2,2657.82,1326
2025-01-03 15:15:00+00:00,2657.8,2659.18,2656.26,2656.83,1158
2025-01-03 15:30:00+00:00,2656.84,2658.38,2656.39,2658.22,1264
2025-01-03 15:45:00+00:00,2658.24,2658.65,2656.65,2657.51,1377
2025-01-03 16:00:00+00:00,2657.5,2658.25,2657.01,2657.81,1061
2025-01-03 16:15:00+00:00,2657.8,2657.85,2655.3,2655.6,1385
2025-01-03 16:30:00+00:00,2655.63,2657.15,2654.67,2656.71,1272
2025-01-03 16:45:00+00:00,2656.69,2657.45,2655.15,2655.2,1009
2025-01-03 17:00:00+00:00,2655.19,2656.22,2653.38,2655.34,2108
2025-01-03 17:15:00+00:00,2655.35,2656.23,2647.93,2649.49,2204
2025-01-03 17:30:00+00:00,2649.5,2651.08,2643.44,2645.53,2029
2025-01-03 17:45:00+00:00,2645.52,2651.3,2645.51,2649.75,2027
2025-01-03 18:00:00+00:00,2649.72,2650.24,2646.83,2647.2,2437
2025-01-03 18:15:00+00:00,2647.19,2649.34,2645.03,2649.08,2590
2025-01-03 18:30:00+00:00,2649.14,2652.59,2648.25,2650.73,2567
2025-01-03 18:45:00+00:00,2650.71,2650.71,2646.11,2647.22,2428
2025-01-03 19:00:00+00:00,2646.53,2648.14,2643.3,2645.72,2861
2025-01-03 19:15:00+00:00,2645.69,2646.0,2640.93,2642.29,2570
2025-01-03 19:30:00+00:00,2642.3,2646.04,2641.95,2644.98,2656
2025-01-03 19:45:00+00:00,2644.95,2645.73,2643.34,2643.79,2120
2025-01-03 20:00:00+00:00,2643.77,2647.2,2643.28,2643.46,2140
2025-01-03 20:15:00+00:00,2643.42,2643.43,2640.61,2641.2,2348
2025-01-03 20:30:00+00:00,2641.21,2643.5,2640.95,2642.24,1955
2025-01-03 20:45:00+00:00,2642.21,2642.21,2638.93,2639.85,1453
2025-01-03 21:00:00+00:00,2639.81,2642.57,2639.35,2641.39,1255
2025-01-03 21:15:00+00:00,2641.32,2642.15,2640.51,2641.63,1238
2025-01-03 21:30:00+00:00,2641.69,2642.05,2639.02,2640.87,1422
2025-01-03 21:45:00+00:00,2640.86,2642.19,2640.8,2641.75,1444
2025-01-03 22:00:00+00:00,2641.76,2642.18,2639.99,2640.27,1311
2025-01-03 22:15:00+00:00,2640.28,2641.24,2639.65,2641.22,1614
2025-01-03 22:30:00+00:00,2641.19,2642.3,2640.98,2641.38,1467
2025-01-03 22:45:00+00:00,2641.4,2642.07,2640.92,2641.87,1456
2025-01-03 23:00:00+00:00,2641.82,2642.89,2641.1,2641.89,996
2025-01-03 23:15:00+00:00,2641.87,2642.04,2640.48,2641.28,999
2025-01-03 23:30:00+00:00,2641.29,2642.1,2640.76,2640.91,1050
2025-01-03 23:45:00+00:00,2640.9,2641.26,2639.06,2639.48,1178
2025-01-04 00:00:00+00:00,2639.42,2640.1,2638.49,2639.2,1163
2025-01-04 00:15:00+00:00,2639.21,2639.59,2638.44,2639.17,945
2025-01-04 00:30:00+00:00,2639.16,2639.69,2637.18,2638.06,1035
2025-01-04 00:45:00+00:00,2638.09,2638.36,2636.78,2638.11,1277
2025-01-04 01:00:00+00:00,2638.08,2638.51,2637.2,2637.35,405
2025-01-04 01:15:00+00:00,2637.36,2637.65,2636.95,2637.53,385
2025-01-04 01:30:00+00:00,2637.55,2639.89,2636.62,2639.78,621
2025-01-04 01:45:00+00:00,2639.8,2640.67,2639.12,2639.51,618
2025-01-06 03:00:00+00:00,2640.98,2641.03,2638.89,2640.98,595
2025-01-06 03:15:00+00:00,2640.97,2642.34,2640.78,2641.68,626
2025-01-06 03:30:00+00:00,2641.67,2642.16,2640.34,2641.98,656
2025-01-06 03:45:00+00:00,2642.01,2642.19,2640.56,2640.95,587
2025-01-06 04:00:00+00:00,2640.93,2641.63,2638.85,2639.13,678
2025-01-06 04:15:00+00:00,2639.09,2640.06,2638.56,2639.32,698
2025-01-06 04:30:00+00:00,2639.3,2639.87,2638.85,2639.14,661
2025-01-06 04:45:00+00:00,2639.07,2643.23,2638.88,2643.14,1203
2025-01-06 05:00:00+00:00,2643.22,2644.81,2640.74,2644.58,2246
2025-01-06 05:15:00+00:00,2644.54,2647.28,2644.54,2645.46,1965
2025-01-06 05:30:00+00:00,2645.49,2645.53,2642.76,2643.37,1453
2025-01-06 05:45:00+00:00,2643.39,2644.08,2641.2,2641.32,1523
2025-01-06 06:00:00+00:00,2641.24,2644.15,2639.7,2643.63,1750
2025-01-06 06:15:00+00:00,2643.62,2644.29,2641.94,2643.31,927
2025-01-06 06:30:00+00:00,2643.61,2645.25,2642.88,2644.06,1339
2025-01-06 06:45:00+00:00,2644.08,2644.91,2643.4,2644.48,1245
2025-01-06 07:00:00+00:00,2644.49,2645.28,2643.32,2643.78,1304
2025-01-06 07:15:00+00:00,2643.79,2643.79,2640.77,2642.12,1383
2025-01-06 07:30:00+00:00,2642.15,2642.15,2639.93,2640.6,1022
2025-01-06 07:45:00+00:00,2640.54,2641.13,2639.1,2640.12,847
2025-01-06 08:00:00+00:00,2640.11,2640.7,2637.07,2638.14,871
2025-01-06 08:15:00+00:00,2638.21,2638.83,2635.08,2637.86,1449
2025-01-06 08:30:00+00:00,2637.87,2638.47,2635.97,2636.74,805
2025-01-06 08:45:00+00:00,2636.76,2637.25,2634.39,2635.42,1139
2025-01-06 09:00:00+00:00,2635.31,2636.16,2634.48,2634.79,1214
2025-01-06 09:15:00+00:00,2634.78,2635.7,2634.16,2634.19,1282
2025-01-06 09:30:00+00:00,2634.55,2634.95,2632.24,2632.95,2056
2025-01-06 09:45:00+00:00,2632.97,2634.15,2631.54,2633.86,1249
2025-01-06 10:00:00+00:00,2633.9,2635.23,2633.19,2634.33,1226
2025-01-06 10:15:00+00:00,2634.32,2635.04,2630.73,2631.39,1461
2025-01-06 10:30:00+00:00,2631.38,2632.08,2630.22,2631.71,1491
2025-01-06 10:45:00+00:00,2631.8,2632.47,2631.1,2631.49,1611
2025-01-06 11:00:00+00:00,2631.46,2633.63,2631.27,2632.03,1834
2025-01-06 11:15:00+00:00,2632.04,2632.05,2630.04,2630.9,1284
2025-01-06 11:30:00+00:00,2630.92,2631.1,2625.04,2625.68,1610
2025-01-06 11:45:00+00:00,2625.67,2627.71,2625.41,2626.79,1043
