time,open,high,low,close,volume,ma,std,upper,lower,trendline,tr,trend,up,dn,buy_signal,sell_signal,rsi,stdev,up_band,dn_band,mid_band,bulls_ma,bears_ma
2025-04-14 19:45:00,3209.72,3212.94,3209.72,3212.73,1892,55.64647862465417,6.761894234313278,3220.6983149100483,3197.031685089952,3209.6814223226133,3.2200000000002547,1,3209.832,3212.038,3212.73,,53.95833333333359,10.588908391253282,76.82429540716073,34.46866184214761,55.64647862465417,53.95833333333359,54.39285075599038
2025-04-14 23:00:00,3212.13,3212.26,3210.4,3211.51,786,58.48213784491073,4.444836897371677,3216.661993982165,3201.105064841364,3211.336867375901,1.8600000000001273,-1,3211.916,3213.184,,3211.51,57.45192307692412,11.615175658716767,81.71248916234427,35.25178652747719,58.48213784491073,57.45192307692412,64.81384498310265
2025-04-15 00:00:00,3212.51,3214.04,3210.74,3214.0,1599,56.145004251890974,4.288193799290274,3217.324339148758,3202.3156608512422,3211.9389923444123,3.300000000000182,1,3211.348,3213.184,3214.0,,60.06289308176167,9.498183649323252,75.14137155053749,37.14863695324447,56.14500425189098,60.06289308176167,54.34006094273876
2025-04-15 02:00:00,3223.63,3224.18,3218.73,3219.1,2046,59.45840055201673,4.08545218040207,3220.086306021586,3205.787223390179,3216.0290163351706,5.449999999999818,-1,3219.858,3224.0049999999997,,3219.1,64.99578770008415,11.286253115543689,82.0309067831041,36.88589432092935,59.45840055201673,64.99578770008415,71.12128275602456
2025-04-15 02:45:00,3222.2,3225.0,3221.78,3224.32,1580,62.654028408387056,4.7464992259124,3222.39402070417,3205.7812734134764,3217.993602693563,3.2199999999998,1,3221.4220000000005,3223.264,3224.32,,71.95828505214446,10.26887451761765,83.19177744362236,42.116279373151755,62.654028408387056,71.95828505214446,69.28217816612695
2025-04-15 05:00:00,3231.76,3232.07,3227.45,3227.7,1690,68.50543599827805,6.878641618555644,3230.6029169501194,3206.527671285175,3224.6272719336866,4.620000000000346,-1,3228.83,3231.858,,3227.7,66.38805970149099,10.921515320826897,90.34846663993184,46.66240535662425,68.50543599827805,66.38805970149099,75.2888565389319
2025-04-15 06:30:00,3226.91,3228.66,3225.35,3227.87,1873,64.56373804141477,6.4729572376651845,3232.25708693062,3209.601736598792,3225.1068972167827,3.3099999999999454,1,3224.891,3227.297,3227.87,,49.92150706436369,13.035312185027742,90.63436241147025,38.49311367135928,64.56373804141477,49.92150706436369,48.19457060537361
2025-04-15 07:00:00,3225.03,3226.45,3221.98,3222.16,2036,61.276949228297404,6.232119263661572,3232.4215028290546,3210.6090854062395,3224.772857060174,4.4699999999998,-1,3224.891,3226.1829999999995,,3222.16,34.392443108630644,15.126292363228544,91.5295339547545,31.024364501840317,61.27694922829741,34.392443108630644,44.44553979063558
2025-04-15 07:45:00,3220.27,3225.56,3217.45,3225.56,2467,56.485873628687614,5.547491516061305,3232.093110153107,3212.6768898468927,3224.0361904181195,8.110000000000127,1,3218.261,3223.4030000000002,3225.56,,54.43668993020885,17.84879328320751,92.18346019510264,20.788287062272595,56.485873628687614,54.43668993020885,36.970720515218346
2025-04-15 09:30:00,3228.48,3228.68,3223.31,3223.67,1830,51.354200869589796,3.2575055250180345,3231.1323993746637,3219.7311300371002,3226.0799439339335,5.369999999999891,-1,3226.135,3228.503,,3223.67,53.417836124944024,14.02836840688454,79.41093768335888,23.297464055820715,51.354200869589796,53.417836124944024,53.74677195086491
