time,open,high,low,close,volume
2025-04-03 01:00:00,3151.31,3156.34,3148.18,3151.91,6279
2025-04-03 01:15:00,3152.03,3154.33,3147.92,3152.31,4432
2025-04-03 01:30:00,3152.3,3162.89,3152.17,3160.03,3827
2025-04-03 01:45:00,3159.95,3160.24,3150.68,3153.39,3108
2025-04-03 02:00:00,3153.26,3155.27,3150.28,3151.83,3192
2025-04-03 02:15:00,3151.9,3154.52,3147.85,3149.87,2153
2025-04-03 02:30:00,3149.86,3150.87,3144.6,3148.78,3341
2025-04-03 02:45:00,3148.79,3149.04,3142.1,3145.07,2925
2025-04-03 03:00:00,3145.08,3152.15,3144.67,3149.12,3738
2025-04-03 03:15:00,3149.11,3149.39,3146.27,3148.07,3123
2025-04-03 03:30:00,3148.12,3149.71,3146.11,3147.82,2312
2025-04-03 03:45:00,3147.76,3150.16,3146.99,3147.98,2062
2025-04-03 04:00:00,3147.99,3149.52,3147.04,3149.1,2016
2025-04-03 04:15:00,3149.11,3149.59,3147.2,3147.93,1219
2025-04-03 04:30:00,3147.91,3148.01,3145.74,3145.98,1347
2025-04-03 04:45:00,3145.99,3146.07,3139.09,3140.39,2752
2025-04-03 05:00:00,3140.26,3140.85,3135.16,3135.83,2565
2025-04-03 05:15:00,3135.84,3136.07,3127.58,3130.48,2944
2025-04-03 05:30:00,3130.49,3133.83,3126.27,3127.64,4236
2025-04-03 05:45:00,3127.62,3133.06,3123.98,3131.71,3641
2025-04-03 06:00:00,3131.87,3134.06,3127.8,3130.87,3999
2025-04-03 06:15:00,3130.9,3131.25,3121.41,3122.28,3853
2025-04-03 06:30:00,3122.24,3126.13,3116.37,3124.4,4628
2025-04-03 06:45:00,3124.36,3131.52,3122.17,3127.62,4400
2025-04-03 07:00:00,3127.71,3127.96,3119.78,3120.88,4137
2025-04-03 07:15:00,3120.92,3125.76,3119.95,3124.83,4096
2025-04-03 07:30:00,3124.85,3126.37,3121.08,3122.26,3346
2025-04-03 07:45:00,3122.44,3130.12,3121.8,3128.95,3186
2025-04-03 08:00:00,3128.94,3131.92,3127.24,3129.37,3531
2025-04-03 08:15:00,3129.39,3131.44,3127.82,3128.3,2785
2025-04-03 08:30:00,3128.25,3130.52,3127.86,3128.49,2759
2025-04-03 08:45:00,3128.48,3129.78,3125.96,3129.0,3376
2025-04-03 09:00:00,3129.06,3129.38,3126.76,3128.47,3503
2025-04-03 09:15:00,3128.49,3129.48,3124.93,3125.61,3718
2025-04-03 09:30:00,3125.56,3129.17,3124.33,3127.79,3634
2025-04-03 09:45:00,3127.71,3128.17,3121.47,3121.52,3179
2025-04-03 10:00:00,3121.61,3122.84,3112.06,3119.23,5302
2025-04-03 10:15:00,3119.26,3119.87,3104.69,3107.46,5061
2025-04-03 10:30:00,3107.44,3108.21,3100.98,3107.15,4885
2025-04-03 10:45:00,3107.1,3112.81,3089.08,3095.37,4584
2025-04-03 11:00:00,3095.33,3099.75,3087.59,3098.2,5155
2025-04-03 11:15:00,3098.22,3099.78,3091.87,3092.11,3762
2025-04-03 11:30:00,3092.12,3093.15,3085.08,3090.91,4551
2025-04-03 11:45:00,3090.92,3097.2,3089.39,3093.07,4195
2025-04-03 12:00:00,3092.91,3094.63,3087.36,3090.42,4299
2025-04-03 12:15:00,3090.39,3090.79,3074.98,3078.39,4672
2025-04-03 12:30:00,3078.44,3078.98,3061.95,3065.77,5815
2025-04-03 12:45:00,3065.79,3080.16,3065.04,3076.32,5836
2025-04-03 13:00:00,3076.26,3076.27,3054.0,3059.34,5836
2025-04-03 13:15:00,3059.33,3069.55,3056.18,3065.27,5319
2025-04-03 13:30:00,3065.25,3088.93,3064.16,3086.61,6773
2025-04-03 13:45:00,3086.63,3093.36,3084.18,3085.63,6022
2025-04-03 14:00:00,3088.28,3116.46,3087.51,3114.29,6490
2025-04-03 14:15:00,3114.28,3126.58,3110.97,3125.3,6399
2025-04-03 14:30:00,3125.28,3127.85,3117.59,3123.64,5804
2025-04-03 14:45:00,3123.66,3135.51,3123.66,3128.86,5630
2025-04-03 15:00:00,3128.84,3129.46,3110.25,3111.49,5030
2025-04-03 15:15:00,3111.51,3113.36,3103.95,3106.13,5083
2025-04-03 15:30:00,3106.17,3113.42,3105.51,3112.83,4667
2025-04-03 15:45:00,3112.76,3112.86,3105.54,3110.45,3895
2025-04-03 16:00:00,3110.46,3114.17,3104.0,3108.72,3925
2025-04-03 16:15:00,3108.66,3109.3,3101.77,3108.38,3496
2025-04-03 16:30:00,3108.42,3110.75,3106.35,3109.33,3134
2025-04-03 16:45:00,3109.36,3110.67,3107.21,3107.5,2956
